"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"GTBank","Banking and Finance","Trade finance","Dell R750","Hardware and Computing Infrastructure","A physical server hosting critical virtual machines for core services such as the bank's database, application servers","HQ,DR","Data Center Power & Cooling, Networks, Electricity etc","Private","GTBank ","HQ,DR","Active","2","2","2","3","3","12","Tier-2"
"GTBank","Banking and Finance","Trade finance","import/export records","Data","Digital records of international trade transactions, including Letters of Credit and shipping documents","HQ,DR","Core Banking System","Private","GTBank ","HQ,DR","Active","2","2","3","3","3","13","Tier-2"
"Unique Solutions","Information and Communications","Vehicle Tracking","Cisco Routers ","Hardware and Computing Infrastructure","Networking deivce used to connect netwroks and forward data","USL HQ","Power, Cooling,Cables","USL","USL","C8WF+R7F, Kairaba Ave, Serrekunda","Active","2","3","3","3","3","14","Tier-2"
"Unique Solutions","Information and Communications","Vehicle Tracking","IP Addresses","Software Systems","Numeric labelling assigned to every computer","USL HQ","Routers, Switches","USL","USL","C8WF+R7F, kairaba Ave, Serrekunda","Active","3","3","2","2","4","14","Tier-2"
"DK Telecom","Information and Communications","ICT consulting services","Servers Room","Facilities","Data Storage ","Workstation, Bijilo","Energy, PoE, Engineers, Adminstrators","DK Telecom","DK Telecom","C768+PQ Bijilo","Active","2","2","3","3","4","14","Tier-2"
"DK Telecom","Information and Communications","ICT consulting services","Switches","Hardware and Computing Infrastructure","Connectivity","Workstation, Bijilo","Subscription, Servers, PoEs, SM","DK Telecom","DK Telecom","C768+PQ Bijilo","Active","3","3","3","2","2","13","Tier-2"
"AFRICEL","Information and Communications","Voice Services","Radio Links/Towers","Networks and Communication","Voice Communication","Countrywide","Call, SMS","Africell","Africell Team","C77J","Active","3","2","3","1","2","11","Tier-2"
"Ministry of Higher Education, Research, Science and Technology (MOHERST)","Education & Research","Higher education systems Policy","Communication Asset","Networks and Communication","","","Depends on routers, switches, and Internet connectivity.","Private ","MoHERST ICT Unit","F87F+8G Serrekunda","Active","3","2","2","3","2","12","Tier-2"
"AFRICEL","Information and Communications","Voice Services","CDRs","Data","Call Data Records","Africell HQ","Call, SMS, Roaming","Africell","Africell Team","F839+H6X","Active","4","3","4","1","2","14","Tier-2"
"AFRICEL","Information and Communications","Voice Services","Routers","Networks and Communication","Network Backbone","Africell HQ","Call, SMS, Roaming","Africell","Africell Team","F839+H6X","Active","3","2","3","3","2","13","Tier-2"
"Wave Mobile Money Gambia. (WAVE)","Banking and Finance","Free deposits and withdrawals","Google Cloud Platform( data center)","Hardware and Computing Infrastructure","GCP's infrastructure provides a global network of data centers for a wide range of cloud services, from virtual machines and storage to machine learning and data analytics. ","Belgium","internet","Private","Wave managed 
space","europe-west1","Active","4","4","1","1","1","11","Tier-2"
"AFRICEL","Information and Communications","Voice Services","Switches","Networks and Communication","Network Backbone","Africell HQ","Call, SMS, Roaming","Africell","Africell Team","F839+H6X","Active","3","2","3","3","2","13","Tier-2"
"Wave Mobile Money Gambia. (WAVE)","Banking and Finance","Free deposits and withdrawals","CloudFlare","Networks and Communication","Global network designed to
 make everything connected to the
 Internet secure, private, fast, and reliable","Global network with data centers","Internet","Private","Wave managed 
space","Global network with data centers","Active","4","4","1","1","1","11","Tier-2"
"Wave Mobile Money Gambia. (WAVE)","Banking and Finance","Free deposits and withdrawals","Perisope","Data","Data storage and manuplulation","Global network with data centers","Internet","Private","Wave managed 
space","Global network with data centers","Active","4","4","1","1","1","11","Tier-2"
"Ministry of Higher Education, Research, Science and Technology (MOHERST)","Education & Research","Higher education systems Policy","Facility Asset","Facilities","MoHERST","","Depends on national power supply.","Private ","MoHERST ","F87F+8G Serrekunda","Active","3","2","1","3","2","11","Tier-2"
"DK Telecom","Information and Communications","ICT consulting services","Ubuntu Server","Software Systems","virtualisation management","Staff Laptop","Liscence, Internet, Servers","DK Telecom","DK Telecom","C768+PQ Bijilo","Active","3","2","3","2","3","13","Tier-2"
"The Department of Information Services (DOIS)","Information and Communications","Sharpening skills in social media and public relations)","Data Center","Facilities","Store data","Work Station-DOIS","Work station","Public","DOIS","Bakau","Active","1","1","3","4","1","10","Tier-2"
"DK Telecom","Information and Communications","ICT consulting services","VMware","Software Systems","virtualisation management","Staff Laptop","Liscence, Internet, Servers","DK Telecom","DK Telecom","C768+PQ Bijilo","Active","2","2","2","2","3","11","Tier-2"
"GTBank","Banking and Finance","Payment processing and services","Dell R750 Server","Hardware and Computing Infrastructure","Its the core hardware system were the core banking application store","HQ,DR","LAN Connectivity, Internet,Electricity,etc","Private","GTBank Gambia","HQ,DR","Active","3","3","2","2","3","13","Tier-2"
"National Environment Agency (NEA)","Food, Agriculture and Environment","Pollution control","BAM Reference Monitor ","Hardware and Computing Infrastructure","Reference-grade air qulaity measurement instrument","NEA HQ","Power, WLAN","NEA","Permian Health Lung Institute","13.45463° N, 16.67123° W","Active","1","1","1","4","4","11","Tier-2"
"Gam Ferries Services (GFS)","Transport","Premium Service ","shore supervisor","Human","Loading vehicles","GFS","Vehicles","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","3","2","3","14","Tier-2"
"The Department of Information Services (DOIS)","Information and Communications","Public Campaigns","MoCDE Data center","Facilities","Store data","MoCDE","Work station","Public","MoCDE","Bakau","Active","1","1","3","4","1","10","Tier-2"
"The Department of Information Services (DOIS)","Information and Communications","Publishes Gambia Daily","gambiadaily.gov.gm","Data","Website for the newspaper","","Work Station`
","DOIS","DOIS","Fajara","Active","1","1","3","4","1","10","Tier-2"
"The Department of Information Services (DOIS)","Information and Communications","Publishes Gambia Daily","Internet","Networks and Communication","It Provide Communication","Work Station-DOIS","Work Station","DOIS","DOIS","Fajara","Active","1","1","3","4","1","10","Tier-2"
"The Department of Information Services (DOIS)","Information and Communications","Publishes Gambia Daily","gamna.gov.gm","Data","Website for the newspaper","","Work Station","DOIS","DOIS","Fajara","Active","1","1","3","4","1","10","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","ICT infrastructure planning","Analytical reports","Data","Fiber-optic backbone connectivity","National Data Center","Power BI, Database, Network","Public","GICTA","97XR+6C14","Candidate","3","3","2","2","3","13","Tier-2"
"Gampost","General Government","Records Management","Record Offices","Facilities","This is a office in the institution where documents are manually kept.","Gampost Headquarters","Record Assistant","Gambia Postal Service Cooperations","Gampost","Gampost Headquarters Banjul","Active","2","1","3","4","3","13","Tier-2"
"Gampost","General Government","Records Management","My-SQL","Data","MySQL is an open-source relational database management system. It is widely used to store, manage, and retrieve structured data in a highly organized manner","Gampost Headquarters","Windows Server, Virtual Machines and Internet","Gambia Postal Service Cooperations","MySQL AB","Gampost Headquarters Banjul","Active","2","2","4","3","3","14","Tier-2"
"Gampost","General Government","Records Management","Database","Software Systems","is an organized collection of data that is stored, managed, and accessed electronically.","Gampost Headquarters","Internet, Windows Server, Work Stations and Computers
","Gambia Postal Service Cooperations","Gampost","Gampost Headquarters Banjul","Active","2","2","4","3","3","14","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","ICT infrastructure planning","Lucidchart","Software Systems","Analytics and visualization tool","GICTA ","Internet, Workstations","Public","GICTA","97XR+6C4","Candidate","2","2","1","3","2","10","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","ICT infrastructure planning","Power BI","Software Systems","Server OS supporting applications","GICTA ","Windows Servers, Analytical database, Network","Public","GICTA","97XR+6C5","Candidate","3","3","2","2","3","13","Tier-2"
"Gambia Maritime Administration (GMA)","Transport","Seafarers' Medical Certificate","Registry staff","Human","Recieved forms from the website and process it","Bijilo Banjul","labtops,desktop,tablets and moblie phones","GAM","GMA","","Active","3","3","1","2","2","11","Tier-2"
"National Early Warning & Response Mechanism (NCCRM)","Emergency Services","Conflict Early Warning","Emails","Software Systems","for data analysis","Kololi new road","Internet","National Early Warning Center","National Early Warning Center","C7RM+CV8,","Active","4","3","3","1","3","14","Tier-2"
"Trust Bank","Banking and Finance","Digital banking platforms","power card","Software Systems","for management of ATMs","HO- Banjul","power, internet","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","4","4","1","3","1","13","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","Economic data analysis","Excel Data Analysis","Data","Data Analysis","GBoS","Electricity, IT infrastructure,laptop","Public","GBoS","GBoS","Active","2","2","2","2","2","10","Tier-2"
"National Records Service (NRS)","General Government","Document preservation","Archives Repository","Data","Archive centre","National Records Service","Electronic Records Management System","Government","National Records Service","F87H+M2J, Serrekunda","Active","2","3","1","2","4","12","Tier-2"
"APS","Banking and Finance","Commercial banking services","Air Conditioner","Hardware and Computing Infrastructure","Keeps the server room cool to avoid servers and network devices over heating","Various branch locations in The Gambia","Desktops/Laptops, network switches, Firewalls, LAN","APS IMF","APS IMF","Various branch locations in The Gambia","Active","3","3","2","2","3","13","Tier-2"
